method,trade_date,mae,rmse,n_rehedges,stock_turnover,option_turnover,total_tc,avg_tc_per_day
deltavega_const_time_bs,2026-03-02,0.04606065788706458,0.09020956361788739,15686,166.5891805236473,344.52108719737726,37.783892330210676,37.783892330210676
deltavega_const_time_bs,2026-03-03,0.06764400690628355,0.13206459688985608,19301,213.1287453274325,556.1895352097368,59.88152842752234,59.88152842752234
deltavega_const_time_bs,2026-03-04,0.04118059485077737,0.08416345885832391,15384,140.1931776741308,287.7270215289428,31.576565706376897,31.576565706376897
deltavega_const_time_bs,2026-03-05,0.06861907181113874,0.12301305739427827,19295,216.48615730033328,418.87696452593025,46.21741959859969,46.21741959859969
deltavega_regime_bs,2026-03-02,0.04605140542933454,0.09018722549866284,8696,138.97912725098456,301.3334326723002,32.912925812249725,32.912925812249725
deltavega_regime_bs,2026-03-03,0.06766287487001815,0.1320653530976668,10222,170.05686958360002,469.1484949267632,50.31598688434832,50.31598688434832
deltavega_regime_bs,2026-03-04,0.04118511956714811,0.0841618764238139,8927,118.80758284805395,249.58035827254218,27.3341874842153,27.3341874842153
deltavega_regime_bs,2026-03-05,0.06863518176547252,0.12299779846717221,10374,178.1523078651876,344.86861984818415,38.04990814212218,38.04990814212218
deltavega_regime_model,2026-03-02,0.04631023657821998,0.09007218977844483,8783,163.5123249534009,308.63065647500434,34.13331214656846,34.13331214656846
deltavega_regime_model,2026-03-03,0.06811135305375748,0.13216914571462407,10631,226.6315369576376,535.7487910350873,58.107509842661486,58.107509842661486
deltavega_regime_model,2026-03-04,0.04136832042312024,0.08437669590051312,8997,137.69548046374422,274.08617520589337,30.16252712986422,30.16252712986422
deltavega_regime_model,2026-03-05,0.06893781220270916,0.12300585648500012,10855,253.87277890797287,409.59721132944185,46.03717671110364,46.03717671110364
